text,label
Well im gonna finish bath goodfine night,0
Let know youve got money carlos make call,0
U still going mall,0
Turns friends staying whole show wont back til ltgt feel free go ahead smoke ltgt worth,0
Text doesnt reply let know log,0
Hi spoke MANEESHA V Wed like know satisfied experience Reply Toll Free Yes,0
lifted hopes offer money need Especially end month approaches hurts studying Anyways gr8 weekend,0
Lol U trust,0
ok gentleman treat dignity respect,0
guys close,0
Going nothing greatbye,0
Hello handsome finding job lazy Working towards getting back net mummy Wheres boytoy miss,0
Haha awesome minute,0
Please call customer service representative FREEPHONE 0808 145 4742 9am11pm guaranteed £1000 cash £5000 prize,1
got Xmas radio times get,0
jus reached home go bathe first sis using net tell u finishes k,0
unique enough Find 30th August wwwareyouuniquecouk,1
Im sorry Ive joined league people dont keep touch mean great deal friend times even great personal cost great week,0
Hi finally completed course,0
stop however suggest stays someone able give ors every stool,0
Hope youve settled new school year wishin gr8 day,0
Gud mrng dear hav nice day,0
u got persons story,0
hamster dead Hey tmr meet 1pm orchard mrt,0
Hi Kate evening hope see tomorrow bit bloody babyjontet Txt back u xxx,0
Found ENC ltgt,0
sent ltgt bucks,0
Hello darlin ive finished college txt u finish u love Kate xxx,0
account refilled successfully INR ltDECIMALgt KeralaCircle prepaid account balance Rs ltDECIMALgt Transaction ID KR ltgt,0
Goodmorning sleeping ga,0
U call alter 11 ok,0
Ü say like dat dun buy ericsson oso cannot oredi lar,0
entered cabin PA said Happy Bday Boss felt special askd 4 lunch lunch invited apartment went,0
Aight yo dats straight dogg,0
please give us connection today ltDECIMALgt refund bill,0
shoot big loads get ready,0
Whats bruv hope great break rewarding semester,0
Home always chat,0
Kkgoodstudy well,0
Yup ü noe leh,0
Sounds great home,0
Finally match heading towards draw prediction,0
Tired havent slept well past nights,0
Easy ahsen got selected means good,0
take exam march 3,0
Yeah think use gt atm register sure theres anyway help let know sure ready,0
Ok prob Take ur time,0
os called ubandu run without installing hard diskyou use os copy important files system give repair shop,0
Sorry Ill call later,0
U say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh,0
500 New Mobiles 2004 MUST GO Txt NOKIA 89545 collect todayFrom £1 www4tcbiz 2optout 08718726270150gbpmtmsg18,1
Would really appreciate call need someone talk,0
u meet ur dream partner soon ur career 2 flyng start 2 find free txt HORO followed ur star sign e g HORO ARIES,1
Hey company elama po mudyadhu,0
Life strict teacher Bcoz Teacher teaches lesson amp conducts exam Life first conducts Exam amp teaches Lessons Happy morning,0
Dear good morning,0
Get gandhipuram walk cross cut road Right side ltgt street road turn first right,0
Dear going rubber place,0
Sorry battery died yeah Im,0
Yeshere tv always available work place,0
Text meet someone sexy today U find date even flirt U Join 4 10p REPLY NAME AGE eg Sam 25 18 msg recdthirtyeight pence,1
printed oh ltgt come upstairs,0
ill little closer like bus stop street,0
youwhen wil reach,0
New Theory Argument wins SITUATION loses PERSON dont argue ur friends kick amp say Im always correct,0
U 447801259231 secret admirer looking 2 make contact Ufind Rreveal thinks UR specialcall 09058094597,1
Tomarrow final hearing laptop case cant,0
PLEASSSSSSSEEEEEE TEL V AVENT DONE SPORTSx,0
Okay shining meant signing sounds better,0
Although told u dat im baig face watches really like e watch u gave cos fr u Thanx 4 everything dat uve done today im touched,0
U dont remember old commercial,0
late said website didnt dont slippers,0
asked call ok,0
Kallis wont bat 2nd innings,0
didnt work oh Ok goodnight Ill fix ready time wake dearly missed good night sleep,0
Congratulations ur awarded 500 CD vouchers 125gift guaranteed Free entry 2 100 wkly draw txt MUSIC 87066 TnCs wwwLdewcom1win150ppmx3age16,1
Ranjith cal drpd Deeraj deepak 5min hold,0
Wen ur lovable bcums angry wid u dnt take seriously Coz angry childish n true way showing deep affection care n luv kettoda manda nice day da,0
doinghow,0
Ups 3days also shipping company takes 2wks way usps takes week gets lag may bribe nipost get stuff,0
Im back lemme know youre ready,0
Dont necessarily expect done get back though Im headin,0
Mmm yummy babe Nice jolt suzy,0
lover need,0
tried contact reply offer Video Handset 750 anytime networks mins UNLIMITED TEXT Camcorder Reply call 08000930705,1
I‘m parked next MINI coming today think,0
Yup,0
Anyway im going shopping Cos sis done yet Dun disturb u liao,0
LUTON 0125698789 RING UR AROUND H,0
Hey really horny want chat see naked text hot 69698 text charged 150pm unsubscribe text stop 69698,1
Dint come us,0
Wana plan trip sometme,0
sure yet still trying get hold,0
Ur ringtone service changed 25 Free credits Go club4mobilescom choose content Stop txt CLUB STOP 87070 150pwk Club4 PO Box1146 MK45 2WT,1
evo download flash Jealous,0
Ringtone Club Get UK singles chart mobile week choose top quality ringtone message free charge,1
Come mu sorting narcotics situation,0
Night ended another day morning come special way May smile like sunny rays leaves worries blue blue bay,0
HMV BONUS SPECIAL 500 pounds genuine HMV vouchers answer 4 easy questions Play Send HMV 86688 infowww100percentrealcom,1
Usf guess might well take 1 car,0
objection bf coming,0
Thanx,0
Tell rob mack gf theater,0
Awesome Ill see bit,0
sent type food like,0
done handed Celebrations full swing yet,0
got called tool,0
Wen u miss someone person definitely special u person special miss Keepintouch gdeve,0
Ok asked money far,0
Okie,0
Yeah think usual guys still passed last night get ahold anybody let know Ill throw,0
K might come tonight class lets early,0
Ok,0
hi baby im cruisin girl friend r u 2 give call hour home thats alright fone fone love jenny xxx,0
life Means lot love life love people life world calls friends call World Ge,0
Dearshall mail tonitebusy streetshall update tonitethings looking okvarunnathu edukkukayee raksha ollubut good one real sense,0
Hey told name gautham ah,0
Haf u found feel stupid da v cam working,0
Oops 4 got bit,0
much buzy,0
accidentally deleted message Resend please,0
TMobile customer may claim FREE CAMERA PHONE upgrade pay go sim card loyalty Call 0845 021 3680Offer ends 28thFebTCs apply,1
Unless situation GO GURL would appropriate,0
Hurt Tease Make cry end life die plz keep one rose grave say STUPID MISS U NICE DAY BSLVYL,0
cant pick phone right Pls send message,0
Need coffee run tomoCant believe time week already,0
Awesome remember last time got somebody high first time diesel V,0
Shit really shocking scary cant imagine second Def night u think somewhere could crash night save taxi,0
Oh way food fridge Want go meal tonight,0
womdarfull actor,0
SMS ac Blind Date 4U Rodds1 21m Aberdeen United Kingdom Check httpimg sms acWicmb3cktz8r74 Blind Dates send HIDE,1
Yup remb think book,0
Jos ask u wana meet,0
Lol yes friendship hanging thread cause u wont buy stuff,0
TheMob Check newest selection content Games Tones Gossip babes sport Keep mobile fit funky text WAP 82468,1
garage keys arent bookshelf,0
Today ACCEPT DAYU Accept Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd rply means enemy,0
Think ur smart Win £200 week weekly quiz text PLAY 85222 nowTCs WinnersClub PO BOX 84 M26 3UZ 16 GBP150week,1
says hell give call friends got money hes definitely buying end week,0
Hi way u 2day normal waythis real UR uniqueI hope know u 4 rest mylife Hope u find wot lost,0
made day great day,0
Kkadvance happy pongal,0
Hmmm Guess go 4 kb n power yoga Haha dunno tahan power yoga anot Thk got lo oso forgot liao,0
really dude friends im afraid,0
December mobile 11mths entitled update latest colour camera mobile Free Call Mobile Update Co FREE 08002986906,1
Coffee cake guess,0
Merry Christmas babe love ya kisses,0
Hey dont go watch x men lunch Haha,0
cud u tell ppl im gona b bit l8 cos 2 buses hav gon past cos full im still waitin 4 1 Pete x,0
would great Well Guild Could meet Bristol road somewhere get touch weekend plans take flight good week,0
problem,0
callsmessagesmissed calls,0
Hi dahow todays class,0
Id say thats good sign well know track record reading women,0
Cool text youre parked,0
Im reading text sent meant joke read light,0
Kkapo kgood movie,0
Maybe could get book tomo return immediately something,0
Call Germany 1 pence per minute Call fixed line via access number 0844 861 85 85 prepayment Direct access,1
chance might evaporated soon violated privacy stealing phone number employers paperwork cool Please contact report supervisor,0
Valentines Day Special Win £1000 quiz take partner trip lifetime Send GO 83600 150pmsg rcvd CustCare08718720201,1
TaDaaaaa home babe still,0
Cool come havent wined dined,0
sleepingand surfing,0
Sorry Ill call later,0
U calling right Call hand phone,0
Ok thats great thanx lot,0
take post come must 1000s texts Happy reading one wiv hello caroline end favourite Bless,0
u hiding stranger,0
interested like,0
sister cleared two round birla soft yesterday,0
Gudnitetcpractice going,0
Dis yijue jus saw ur mail case huiming havent sent u num Dis num,0
One small prestige problem,0
Fancy shag doInterested sextextukcom txt XXUK SUZY 69876 Txts cost 150 per msg TnCs website X,1
checking Really miss seeing Jeremiah great month,0
Nah cant help Ive never iphone,0
youre car hour half Im going apeshit,0
TODAY Sorry day ever angry ever misbehaved hurt plz plz SLAP URSELF Bcoz ur fault Im basically GOOD,0
Yo guys ever figure much need alcohol Jay trying figure much safely spend weed,0
ltgt ISH MINUTES 5 MINUTES AGO WTF,0
Thank callingForgot say Happy Onam SirjiI fine remembered met insurance personMeet Qatar Insha AllahRakhesh ex Tata AIG joined TISSCOTayseer,0
Congratulations ur awarded 500 CD vouchers 125gift guaranteed Free entry 2 100 wkly draw txt MUSIC 87066 TnCs wwwLdewcom1win150ppmx3age16,1
Ur cashbalance currently 500 pounds maximize ur cashin send CASH 86688 150pmsg CC 08708800282 HGSuite3422Lands RowW1J6HL,1
Im actor work work evening sleep late Since im unemployed moment ALWAYS sleep late youre unemployed every day saturday,0
Hello got st andrewsboy long way cold keep posted,0
Ha ha cool cool chikku chikkuDB,0
Oh ok prob,0
Check audreys status right,0
Busy Trying finish new year looking forward finally meeting,0
Good afternoon sunshine dawns day refreshed happy alive breathe air smile think love always,0
Well know Z take care worries,0
UpdateNow Xmas Offer Latest Motorola SonyEricsson Nokia FREE Bluetooth Double Mins 1000 Txt Orange Call MobileUpd8 08000839402 call2optoutF4Q,1
discount code RP176781 stop messages reply stop wwwregalportfoliocouk Customer Services 08717205546,1
Wat uniform get,0
Cool text youre ready,0
Hello boytoy Geeee miss already woke wish bed cuddling love,0
spoil bed well,0
Im going bath msg next ltgt min,0
cant keep talking people sure pay agree price pls tell want really buy much willing pay,0
Thanks Ringtone Order Reference T91 charged GBP 4 per week unsubscribe anytime calling customer services 09057039994,1
say happen,0
could seen mei didt recognise Face,0
Well theres lot things happening Lindsay New years sighs bars Ptbo blue heron something going,0
Keep payasam rinu brings,0
taught Ranjith sir called sms like Becaus hes verifying project Prabu told today pa dont mistake,0
guess thats worried must know theres way body repairs im quite sure shouldnt worry Well take slow First tests guide ovulation relax Nothing youve said reason worry ill keep followin,0
Yeah sure give couple minutes track wallet,0
Hey leave big deal take care,0
Hey late ah Meet 945,0
Double mins txts 4 6months FREE Bluetooth Orange Available Sony Nokia Motorola phones Call MobileUpd8 08000839402 call2optoutN9DX,1
took Mr owl 3 licks,0
Customer place call,0
Mm time dont like fun,0
4mths half price Orange line rental latest camera phones 4 FREE phone 11mths Call MobilesDirect free 08000938767 update or2stoptxt,1
Yup lunch buffet U eat already,0
Huh late Fr dinner,0
Hey sat going intro pilates kickboxing,0
Morning ok,0
Yes think office lap room think thats last days didnt shut,0
Pick bout 730ish time going,0
performance award calculated every two monthnot current one month period,0
actually sleeping still might u call back text gr8 rock sis send u text wen wake,0
always putting business put pictures ass facebook one open people ive ever met would think picture room would hurt make feel violated,0
Good evening Sir Al Salam Wahleykkumsharing happy newsBy grace God got offer TayseerTISSCO joinedHope fineInshah Allahmeet sometimeRakheshvisitor India,0
Hmmmkbut want change field quickly dai wanna get system administrator network administrator,0
FREE RINGTONE text FIRST 87131 poly text GET 87131 true tone Help 0845 2814032 16 1st free tones 3x£150pw e£nd txt stop,1
Dear chechi talk,0
hair cream shipped,0
None thats happening til get though,0
Yep great loxahatchee xmas tree burning ltgt starts hour,0
Haha get used driving usf man know lot stoners,0
well slightly disastrous class pm fav darlings Hope day ok Coffee wld good cant stay late tomorrow time place always,0
Hello Good week Fancy drink something later,0
Headin towards busetop,0
Messagesome text missing SenderName Missing Number Missing SentDate missing Missing U lot thats everything missing sent via fullonsmscom,0
Come room point iron plan weekend,0
Cos want thing,0
Okies Ill go yan jiu skip ard oso go cine den go mrt one blah blah blah,0
Bring home Wendy,0
100 dating service call 09064012103 box334sk38ch,1
Whatsup Dont u want sleep,0
Alright new goal,0
FREE entry £250 weekly competition text word WIN 80086 18 TC wwwtxttowincouk,1
Alright Ill head minutes text meet,0
Send logo 2 ur lover 2 names joined heart Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 87077 Yahoo POBox36504W45WQ TxtNO 4 ads 150p,1
Yesfrom last week im taking live call,0
Someone contacted dating service entered phone fancy find call landline 09111032124 PoBox12n146tf150p,1
Siva hostel aha,0
URGENT Mobile number awarded £2000 prize GUARANTEED Call 09058094455 land line Claim 3030 Valid 12hrs,1
Send ur friends receive something ur voice speaking expression 1childish 2naughty 3Sentiment 4rowdy 5ful attitude 6romantic 7shy 8Attractive 9funny ltgt irritating ltgt lovable reply,0
Ok Shell ok guess,0
aathiwhere dear,0
pain urination thing else,0
7 esplanade ü mind giving lift cos got car today,0
wnt buy BMW car urgentlyits vry urgentbut hv shortage ltgt Lacsthere source arng dis amt ltgt lacsthats prob,0
home watching tv lor,0
usually take fifteen fucking minutes respond yes question,0
Congrats Nokia 3650 video camera phone Call 09066382422 Calls cost 150ppm Ave call 3mins vary mobiles 16 Close 300603 post BCM4284 Ldn WC1N3XX,1
Booked ticket pongal,0
available Im like right around hillsborough amp ltgt th,0
message sent askin ltgt dollars Shoul pay ltgt ltgt,0
Ask g iouri Ive told story like ten times already,0
long applebees fucking take,0
Hi hope u get txtjourney hasnt gdnow 50 mins late think,0
like love arrange,0
Yeshe really greatbhaji told kallis best cricketer sachin worldvery tough get,0
supposed wake gt,0
Oic saw tot din c found group liao,0
Sorry Ill call later,0
HEY HEY WERETHE MONKEESPEOPLE SAY MONKEYAROUND HOWDY GORGEOUS HOWU DOIN FOUNDURSELF JOBYET SAUSAGELOVE JEN XXX,0
Sorry battery died come Im getting gram wheres place,0
Well done blimey exercise yeah kinda remember wot hmm,0
wont get concentration dear know mind everything,0
LOL made plans new years,0
10 min later k,0
hanks lotsly,0
Thanks hope good day today,0
Kkwhat detail want transferacc enough,0
Ok tell stay Yeah tough optimistic things improve month,0
Loan purpose £500 £75000 Homeowners Tenants welcome previously refused still help Call Free 0800 1956669 text back help,1
Si si think ill go make oreo truffles,0
LOOK AMY URE BEAUTIFUL INTELLIGENT WOMAN LIKE U LOT KNOW U DONT LIKE LIKE DONT WORRY,0
hope thats result consistently intelligent kind Start asking practicum links keep ears open best ttyl,0
120 call cost guess isnt bad Miss ya need ya want ya love ya,0
Going thru different feelingwavering decisions coping individualtime heal everything believe,0
u go phone gonna die stay,0
Great Never better day gives even reasons thank God,0
UpgrdCentre Orange customer may claim FREE CAMERA PHONE upgrade loyalty Call 0207 153 9153 Offer ends 26th July TCs apply Optout available,1
Sorry Ill call later ok bye,0
Ok way railway,0
great princess love giving receiving oral Doggy style fave position enjoy making love ltgt times per night,0
dont put stuff roads keep getting slippery,0
going ride bike,0
Yup need Ill jus wait 4 e rain 2 stop,0
many company Tell language,0
okmail Dear Dave final notice collect 4 Tenerife Holiday 5000 CASH award Call 09061743806 landline TCs SAE Box326 CW25WX 150ppm,1
long since screamed princess,0
Nothing meant money enters account bank remove flat rate Someone transfered ltgt account ltgt dollars got removed banks differ charges also differbe sure trust 9ja person sending account details cos,0
Want 2 get laid tonight Want real Dogging locations sent direct 2 ur Mob Join UKs largest Dogging Network txting MOAN 69888Nyt ec2a 31pmsg150p,1
Nice line said broken heart Plz dont cum 1 times infront wise trust U Good 9t,0
Ok Im gonna head usf like fifteen minutes,0
Love aathilove u lot,0
Tension ahwhat machiany problem,0
K pick another 8th youre done,0
Whenre guys getting back G said thinking staying mcr,0
Almost see u sec,0
Yo carlos friends already asking working weekend,0
Watching tv lor,0
Thank baby cant wait taste real thing,0
change fb jaykwon thuglyfe falconerf,0
win really 1 side long time,0
FREE MESSAGE Activate 500 FREE Text Messages replying message word FREE terms conditions visit www07781482378com,1
Dear reached railway happen,0
Depends quality want type sent boye faded glory 6 want ralphs maybe 2,0
think ive fixed send test message,0
Sorry man accounts dry would want could trade back half could buy shit credit card,0
Congrats 1 year special cinema pass 2 call 09061209465 C Suprman V Matrix3 StarWars3 etc 4 FREE bx420ip45we 150pm Dont miss,1
Sorryin meeting Ill call later,0
class ltgt reunion,0
free nowcan call,0
Got meh,0
Nope Think go monday Sorry replied late,0
told accenture confirm true,0
Kate jackson rec center 7ish right,0
Dear reache room,0
Fighting world easy u either win lose bt fightng some1 close u dificult u lose u lose u win u still lose,0
ü come,0
Check nuerologist,0
Lolnice went fish water,0
123 Congratulations weeks competition draw u £1450 prize claim call 09050002311 b4280703 TCsstop SMS 08718727868 18 150ppm,1
waiting e car dats bored wat Cos wait outside got nothing 2 home stuff watch tv wat,0
Maybe westshore hyde park village place near house,0
know hows anthony bringing money Ive school fees pay rent stuff like Thats need help friend need,0
Whats significance,0
opinion 1 2 Jada 3 Kusruthi 4 Lovable 5 Silent 6 Spl character 7 matured 8 Stylish 9 Simple Pls reply,0
8 latest gs still scrounge ammo want give new ak try,0
Prabhaim sorydarealyfrm heart im sory,0
Lol ok forgiven,0
Nojst change tat,0
guaranteed latest Nokia Phone 40GB iPod MP3 player £500 prize Txt word COLLECT 83355 IBHltd LdnW15H 150pMtmsgrcvd18,1
Sno competition,0
Boltblue tones 150p Reply POLY MONO eg POLY3 1 Cha Cha Slide 2 Yeah 3 Slow Jamz 6 Toxic 8 Come STOP 4 tones txt,1
credits topped httpwwwbubbletextcom renewal Pin tgxxrz,1
way transport less problematic sat night way u want ask n join bday feel free need know definite nos booking fri,0
Usually person unconscious thats children adults may behave abnormally Ill call,0
thats ebay might less elsewhere,0
Shall come get pickle,0
gonna go get tacos,0
Thats rude campus,0
URGENT Mobile awarded £2000 Bonus Caller Prize 020903 2nd attempt contact Call 08718729755 BOX95QU,1
Hi wont b ard 4 christmas enjoy n merry xmas,0
Todays Offer Claim ur £150 worth discount vouchers Text YES 85023 SavaMob member offers mobile Cs 08717898035 £300 Sub 16 Unsub reply X,1
Yes pretty lady like single,0
recieve tone within next 24hrs Terms conditions please see Channel U Teletext Pg 750,1
Jay says youre doublefaggot,0
PRIVATE 2003 Account Statement 07815296484 shows 800 unredeemed SIM points Call 08718738001 Identifier Code 41782 Expires 181104,1
Todaysundaysunday holidayso work,0
Gudnitetcpractice going,0
Ill late,0
